datetime,data
26-03-2021 20:28:16,"200.38,4.4,0.11,0.0,16.78,23.93,0.1,0.02,0.06,0.16,3.44,0.05,0.21,0.82,11.06,1.16"
26-03-2021 20:28:21,"127.16,0.52,0.02,0.06,0.37,0.04,25.26,0.13,0.06,0.13,3.21,0.04,0.2,0.82,11.12,1.16"
26-03-2021 20:28:25,"145.98,1.07,0.06,0.06,1.83,0.2,23.59,0.29,0.04,0.1,2.93,0.03,0.21,0.8,10.78,1.16"
26-03-2021 20:28:29,"132.8,1.23,0.04,0.01,4.02,0.18,22.53,0.29,0.01,0.13,3.04,0.04,0.2,0.89,10.35,1.16"
26-03-2021 20:28:34,"58.24,0.07,0.32,0.03,6.33,0.15,51.58,3.18,0.0,0.08,2.92,0.04,0.2,0.91,10.15,1.09"
26-03-2021 20:28:39,"141.98,0.43,0.01,0.02,10.92,0.17,24.54,0.16,0.01,0.14,2.89,0.02,0.21,0.84,10.33,1.08"
26-03-2021 20:28:43,"145.53,0.42,0.02,0.03,12.08,0.16,28.14,0.55,0.02,0.17,3.1,0.03,0.21,0.99,9.85,1.13"
26-03-2021 20:28:48,"1.24,35.73,0.01,0.0,0.04,3.6,40.96,1.47,0.02,0.21,3.05,0.03,0.21,0.94,9.51,1.21"
26-03-2021 20:28:52,"3.55,53.4,0.03,0.07,0.01,6.95,29.64,0.26,0.03,0.16,3.19,0.02,0.21,0.9,9.52,1.13"
26-03-2021 20:28:56,"2.92,48.21,0.05,0.1,0.07,5.9,32.46,0.52,0.03,0.18,3.13,0.02,0.22,0.95,9.59,1.06"
26-03-2021 20:29:01,"3.31,49.98,0.02,0.14,0.12,5.86,33.64,1.02,0.04,0.17,3.13,0.04,0.2,0.87,9.8,1.12"
26-03-2021 20:29:05,"0.48,0.03,46.5,0.76,0.01,0.27,36.51,2.82,0.03,0.17,3.05,0.05,0.23,0.98,9.29,1.14"
26-03-2021 20:29:09,"0.38,0.08,51.01,1.03,0.09,0.12,32.84,1.56,0.11,0.21,3.1,0.04,0.22,0.94,9.57,1.13"
26-03-2021 20:29:14,"0.34,0.01,47.64,0.49,0.06,0.12,31.64,1.3,0.06,0.23,3.23,0.03,0.28,0.91,10.0,1.08"
26-03-2021 20:29:18,"0.3,0.03,0.05,98.98,0.02,0.11,0.53,39.29,0.07,0.23,3.31,0.02,0.23,0.86,9.92,1.04"
26-03-2021 20:29:22,"0.31,0.04,0.05,154.59,0.1,0.12,0.22,35.64,0.08,0.24,3.32,0.01,0.22,0.91,9.89,1.0"
26-03-2021 20:29:27,"0.29,0.04,0.03,54.08,0.09,0.11,0.84,11.55,0.07,0.17,3.35,0.01,0.23,0.9,9.67,1.04"
26-03-2021 20:29:32,"0.34,0.07,0.48,12.62,0.2,0.09,8.0,93.44,0.1,0.22,3.33,0.02,0.24,0.98,9.89,1.08"
26-03-2021 20:29:36,"1.51,0.01,0.04,0.75,0.33,0.04,0.27,0.11,0.67,47.55,3.04,0.13,33.32,14.34,8.05,1.11"
26-03-2021 20:29:40,"1.63,0.03,0.03,0.33,0.26,0.07,0.22,0.09,0.12,0.17,3.38,0.02,0.27,1.02,7.95,1.02"
26-03-2021 20:29:44,"1.72,0.07,0.02,0.22,0.13,0.06,0.2,0.09,0.15,0.22,3.43,0.01,0.28,1.06,7.97,1.05"
26-03-2021 20:29:49,"1.68,0.07,0.02,0.16,0.09,0.05,13.53,0.08,0.15,0.18,3.11,0.01,0.28,1.06,8.01,1.11"
26-03-2021 20:29:53,"1.71,0.0,0.02,0.09,0.03,0.05,0.19,0.09,0.16,0.13,3.44,0.02,0.23,1.08,8.26,1.0"
26-03-2021 20:29:57,"1.72,0.06,0.0,0.07,0.28,0.04,0.18,0.08,0.16,0.32,3.33,0.02,0.23,1.04,8.02,1.04"
27-03-2021 13:45:52,"0.01,0.0,0.01,0.05,0.04,0.01,0.02,0.0,0.02,0.04,0.76,0.11,0.0,0.07,3.29,0.0"
27-03-2021 13:45:57,"0.01,0.01,0.01,0.08,0.01,0.0,0.02,0.01,0.04,0.01,0.9,0.11,0.01,0.06,1.46,0.12"
27-03-2021 13:46:01,"0.01,0.08,0.01,0.08,0.08,0.01,0.03,0.0,0.17,1.91,0.56,0.11,33.57,71.92,1.2,0.2"
27-03-2021 13:46:05,"0.0,0.03,0.01,0.09,0.07,0.01,0.03,0.01,1.08,3.27,0.71,0.11,41.02,54.94,2.11,0.02"
27-03-2021 13:46:09,"0.02,0.06,0.01,0.12,0.1,0.02,0.02,0.0,0.01,6.36,1.94,0.12,9.79,105.68,288.14,0.12"
27-03-2021 13:46:14,"0.04,0.05,0.01,0.09,0.02,0.01,0.02,0.01,0.25,5.2,11.75,0.12,3.34,36.99,954.88,0.07"
27-03-2021 13:46:18,"0.04,0.0,0.01,0.12,0.23,147.02,0.03,0.01,0.42,29.98,52.89,0.14,0.08,2.57,1660.16,0.13"
27-03-2021 13:46:22,"0.02,30.09,0.01,0.11,0.01,0.0,0.03,0.01,1.12,42.14,50.33,0.92,0.09,1.79,971.43,0.95"
27-03-2021 13:46:27,"0.1,0.05,0.0,0.13,0.0,0.01,0.02,0.0,0.3,63.65,34.69,0.58,0.07,4.46,695.94,0.18"
27-03-2021 13:46:31,"0.14,0.07,0.0,0.13,0.1,0.01,0.02,0.01,0.51,33.95,38.84,0.52,0.06,5.65,1142.29,0.33"
27-03-2021 13:46:35,"0.14,0.06,0.26,0.14,0.1,0.0,0.56,0.06,0.09,91.7,238.68,0.05,0.05,6.16,2.39,0.14"
27-03-2021 13:46:40,"0.14,0.02,0.43,0.02,0.06,0.0,1.08,0.21,0.27,30.02,511.1,0.11,0.04,3.42,1.15,0.25"
27-03-2021 13:46:45,"0.03,0.03,0.42,0.07,0.01,30.86,0.57,0.04,0.08,0.22,452.0,0.56,0.0,0.71,0.75,0.2"
27-03-2021 13:46:49,"0.01,0.0,0.44,0.03,0.06,23.53,2.91,0.6,0.08,0.02,394.46,0.16,0.02,0.64,1.04,0.22"
27-03-2021 13:46:53,"0.03,0.05,0.36,0.08,0.22,31.21,0.21,0.09,0.09,0.11,381.38,0.15,0.02,0.68,0.15,0.25"
27-03-2021 13:46:59,"0.31,0.11,0.41,0.08,0.16,27.66,0.75,0.16,0.1,0.12,486.48,0.14,0.03,0.57,0.16,0.27"
27-03-2021 13:47:03,"0.55,0.05,0.36,0.13,0.06,35.69,0.57,0.13,0.1,0.1,395.99,0.14,0.03,0.6,0.79,0.21"
27-03-2021 13:47:07,"0.34,0.04,0.02,0.13,0.11,0.07,39.06,6.0,0.1,0.07,305.75,4.97,0.03,0.47,0.48,0.18"
27-03-2021 13:47:12,"0.32,0.03,0.13,0.13,0.14,0.07,35.18,4.59,0.11,0.12,380.2,5.32,0.04,0.54,1.32,0.18"
27-03-2021 13:47:16,"0.36,0.08,0.17,0.17,0.04,0.06,40.14,2.81,0.1,0.1,177.72,2.9,0.04,0.63,1.91,0.12"
27-03-2021 13:47:20,"0.32,0.07,0.33,0.2,0.08,0.04,38.55,2.84,0.1,0.05,165.65,2.56,0.05,0.49,1.84,0.16"
27-03-2021 13:47:24,"0.39,0.1,0.56,0.16,0.09,0.04,19.76,0.03,0.09,0.03,806.98,3.64,0.05,0.58,0.57,0.19"
27-03-2021 13:47:29,"0.34,0.04,3.47,0.18,0.2,0.04,81.47,8.73,0.1,0.1,2.06,0.16,0.05,0.61,0.87,0.08"
27-03-2021 13:47:33,"0.39,0.03,2.03,0.2,0.01,0.02,78.07,5.65,0.1,0.03,1.96,0.18,0.05,0.49,1.19,0.13"
27-03-2021 13:47:37,"0.38,0.06,3.83,0.25,0.07,0.03,54.38,7.49,0.11,0.08,1.87,0.17,0.05,0.54,1.11,0.21"
27-03-2021 13:47:42,"0.34,0.03,0.44,5.81,0.09,0.02,7.8,113.8,0.1,0.15,2.31,0.14,0.06,0.58,1.3,0.1"
27-03-2021 13:47:46,"0.39,0.09,0.45,6.99,0.13,0.02,6.35,115.44,0.1,0.09,2.44,0.15,0.06,0.53,1.2,0.13"
27-03-2021 13:47:50,"0.36,0.03,0.43,0.12,0.1,0.01,1.23,87.79,0.1,0.14,2.19,0.14,0.06,0.54,0.68,0.11"
27-03-2021 13:47:54,"0.35,0.07,6.35,441.58,0.01,0.02,0.76,5.11,0.1,0.13,2.03,0.13,0.07,0.55,1.28,0.17"
27-03-2021 13:47:58,"0.41,0.09,6.89,453.27,0.08,0.02,0.76,8.05,0.09,0.06,2.12,0.14,0.07,0.63,1.02,0.08"
27-03-2021 13:48:03,"0.38,0.05,4.89,396.22,0.09,0.02,0.73,19.8,0.11,0.11,1.9,0.13,0.08,0.54,0.8,0.05"
27-03-2021 13:48:07,"0.39,0.03,52.15,77.93,0.12,0.01,0.37,0.75,0.11,0.06,1.86,0.12,0.06,0.55,1.31,0.12"
27-03-2021 13:48:11,"0.34,0.04,50.63,90.67,0.09,0.01,0.09,1.53,0.11,0.1,1.84,0.14,0.06,0.49,1.07,0.07"
27-03-2021 13:48:17,"0.36,0.1,45.53,112.62,0.08,0.0,0.04,2.87,0.11,0.03,1.94,0.13,0.06,0.53,1.12,0.04"
27-03-2021 13:48:21,"0.14,53.51,41.37,1.08,0.02,0.27,0.32,0.25,0.12,0.13,1.87,0.12,0.07,0.54,1.34,0.05"
27-03-2021 13:48:26,"3.58,59.82,39.91,0.38,0.12,4.13,0.3,0.22,0.1,0.12,1.7,0.12,0.07,0.54,1.11,0.07"
27-03-2021 13:48:30,"9.68,61.26,36.83,0.31,0.03,10.99,0.36,0.22,0.02,0.07,1.64,0.11,0.07,0.53,1.4,0.06"
27-03-2021 13:48:34,"13.66,57.97,61.88,0.49,0.09,0.26,0.7,0.21,4.48,0.09,1.65,0.13,0.02,0.81,1.1,0.02"
27-03-2021 13:48:38,"15.57,54.45,71.23,0.36,0.04,0.81,0.73,0.21,4.39,0.06,2.06,0.11,0.02,0.78,1.0,0.07"
27-03-2021 13:48:42,"0.32,0.15,30.38,203.62,0.03,0.01,0.8,0.72,4.34,0.09,1.53,9.79,0.01,0.77,0.86,0.12"
27-03-2021 13:48:47,"0.33,0.18,3.58,110.45,0.17,0.01,0.45,4.41,4.32,0.12,1.2,26.53,0.0,0.82,0.04,0.14"
27-03-2021 13:48:51,"0.23,0.11,3.12,126.54,0.0,0.02,0.49,4.3,4.28,0.11,1.53,28.38,0.01,0.8,0.57,0.08"
27-03-2021 13:48:56,"0.24,0.18,2.5,114.27,0.14,0.01,0.56,4.1,4.26,0.11,1.84,30.26,0.0,0.82,0.84,0.18"
27-03-2021 13:49:00,"0.25,0.22,1.93,191.41,0.1,0.03,0.42,11.32,4.24,0.09,1.74,17.6,0.0,0.78,1.86,0.17"
27-03-2021 13:49:04,"0.2,0.15,0.09,0.53,0.08,0.01,0.13,0.03,4.24,0.12,2.01,30.48,0.0,0.77,379.8,20.48"
27-03-2021 13:49:08,"0.19,0.17,0.01,0.19,0.1,0.02,0.09,0.0,4.22,0.09,43.23,15.99,0.0,0.82,1235.95,0.18"
27-03-2021 13:49:13,"0.18,0.11,0.04,0.14,0.2,0.03,0.08,0.02,4.22,0.09,15.06,25.59,0.0,0.78,788.85,10.66"
27-03-2021 13:49:17,"0.18,0.19,0.1,0.11,0.05,0.02,0.07,0.03,3.92,0.53,1.0,0.02,40.07,49.3,10.63,0.13"
27-03-2021 13:49:21,"0.18,0.17,0.05,0.03,0.14,0.02,0.07,0.03,5.51,1.26,0.97,0.06,41.44,57.73,8.4,0.05"
27-03-2021 13:49:25,"0.17,0.19,0.08,0.03,0.23,0.02,0.05,0.03,5.76,4.16,1.45,0.06,30.78,71.36,9.25,0.05"
27-03-2021 13:49:30,"0.19,0.12,0.08,0.03,0.09,0.01,0.05,0.04,5.41,2.38,1.16,0.06,38.87,64.67,9.88,0.02"
27-03-2021 13:49:34,"0.13,0.17,0.1,0.04,0.09,0.02,0.04,0.04,4.68,0.45,1.43,0.04,79.52,41.23,9.44,0.02"
27-03-2021 13:49:38,"0.15,0.16,0.11,0.02,0.03,0.01,0.04,0.04,3.53,0.14,1.13,0.04,130.5,0.14,9.48,0.04"
27-03-2021 13:49:43,"0.16,0.14,0.12,0.05,0.04,0.02,0.03,0.04,7.84,74.91,1.29,0.03,1.13,67.72,9.25,0.01"
27-03-2021 13:49:47,"0.16,0.17,0.11,0.01,0.05,0.03,0.03,0.04,8.82,62.51,1.17,0.04,0.5,27.3,9.18,0.08"
27-03-2021 13:49:52,"0.11,0.17,0.11,0.01,0.09,0.03,0.03,0.05,6.5,43.74,1.11,0.03,0.35,45.03,9.44,0.08"
27-03-2021 13:49:56,"0.19,0.09,0.13,0.04,0.11,34.16,0.48,0.05,3.86,4.26,1.02,0.05,3.11,66.21,9.4,0.12"
27-03-2021 13:50:01,"0.55,0.13,0.98,0.13,0.05,37.61,26.1,0.21,3.98,0.04,0.92,0.04,0.09,0.59,9.44,0.09"
27-03-2021 13:50:06,"62.42,0.28,0.13,0.16,37.22,0.74,22.49,0.22,3.96,0.04,1.06,0.03,0.05,0.5,9.59,0.14"
27-03-2021 13:50:10,"59.05,0.21,0.96,0.16,55.0,1.69,26.57,0.21,3.97,0.09,0.96,0.03,0.03,0.5,9.83,0.12"
27-03-2021 13:56:51,"0.04,0.11,0.02,0.06,0.16,0.01,4.99,0.0,0.01,0.03,0.15,0.04,0.01,0.01,0.63,0.03"
27-03-2021 13:56:56,"0.03,0.22,0.01,0.02,0.01,0.01,4.99,0.0,0.01,0.01,0.06,0.04,0.01,0.02,0.09,0.03"
27-03-2021 13:57:01,"0.0,0.14,0.02,0.05,0.15,0.01,5.0,0.01,0.03,0.09,0.61,4.77,0.01,0.1,158.13,232.7"
27-03-2021 13:57:05,"0.03,0.28,0.01,0.05,0.1,0.01,4.99,0.01,0.02,0.07,0.34,8.82,0.01,0.08,118.61,289.33"
27-03-2021 13:57:10,"0.05,0.19,0.0,0.09,0.06,0.0,4.99,0.0,0.02,0.02,2.84,4.48,0.0,0.08,896.56,78.22"
27-03-2021 13:57:14,"0.02,0.06,0.01,0.12,0.04,0.01,4.99,0.0,0.04,0.08,20.99,6.63,0.0,0.0,1041.42,79.92"
